mclaren,McLaren,British
bmw_sauber,BMW Sauber,German
williams,Williams,British
renault,Renault,French
toro_rosso,Toro Rosso,Italian
ferrari,Ferrari,Italian
toyota,Toyota,Japanese
super_aguri,Super Aguri,Japanese
red_bull,Red Bull,Austrian
force_india,Force India,Indian
honda,Honda,Japanese
spyker,Spyker,Dutch
mf1,MF1,Russian
spyker_mf1,Spyker MF1,Dutch
sauber,Sauber,Swiss
bar,BAR,British
jordan,Jordan,Irish
minardi,Minardi,Italian
jaguar,Jaguar,British
prost,Prost,French
arrows,Arrows,British
benetton,Benetton,Italian
brawn,Brawn,British
stewart,Stewart,British
tyrrell,Tyrrell,British
lola,Lola,British
ligier,Ligier,French
forti,Forti,Italian
footwork,Footwork,British
pacific,Pacific,British
simtek,Simtek,British
team_lotus,Team Lotus,British
larrousse,Larrousse,French
brabham,Brabham,British
dallara,Dallara,Italian
fondmetal,Fondmetal,Italian
march,March,British
moda,Andrea Moda,Italian
ags,AGS,French
lambo,Lambo,Italian
leyton,Leyton House,British
coloni,Coloni,Italian
eurobrun,Euro Brun,Italian
osella,Osella,Italian
onyx,Onyx,British
life,Life,Italian
rial,Rial,German
zakspeed,Zakspeed,German
ram,RAM,British
alfa,Alfa Romeo,Italian
spirit,Spirit,British
toleman,Toleman,British
ats,ATS,Italian
theodore,Theodore,Hong Kong
fittipaldi,Fittipaldi,Brazilian
ensign,Ensign,British
shadow,Shadow,British
wolf,Wolf,Canadian
merzario,Merzario,Italian
kauhsen,Kauhsen,German
rebaque,Rebaque,Mexican
surtees,Surtees,British
hesketh,Hesketh,British
martini,Martini,French
brm,BRM,British
penske,Penske,American
lec,LEC,British
mcguire,McGuire,Australian
boro,Boro,Dutch
apollon,Apollon,Swiss
kojima,Kojima,Japanese
parnelli,Parnelli,American
maki,Maki,Japanese
hill,Embassy Hill,British
lyncar,Lyncar,British
trojan,Trojan,British
amon,Amon,New Zealand
token,Token,British
iso_marlboro,Iso Marlboro,British
tecno,Tecno,Italian
matra,Matra,French
politoys,Politoys,British
connew,Connew,British
bellasi,Bellasi,Swiss
tomaso,De Tomaso,Italian
cooper,Cooper,British
eagle,Eagle,American
lds,LDS,South African
protos,Protos,British
shannon,Shannon,British
scirocco,Scirocco,British
re,RE,Rhodesian
brp,BRP,British
porsche,Porsche,German
derrington,Derrington,British
gilby,Gilby,British
stebro,Stebro,Canadian
emeryson,Emeryson,British
enb,ENB,Belgium
jbw,JBW,British
ferguson,Ferguson,British
mbm,MBM,Swiss
behra-porsche,Behra-Porsche,Italian
maserati,Maserati,Italian
scarab,Scarab,American
watson,Watson,American
epperly,Epperly,American
phillips,Phillips,American
lesovsky,Lesovsky,American
trevis,Trevis,American
meskowski,Meskowski,American
kurtis_kraft,Kurtis Kraft,American
kuzma,Kuzma,American
vhristensen,Christensen,American
ewing,Ewing,American
aston_martin,Aston Martin,British
vanwall,Vanwall,British
moore,Moore,American
dunn,Dunn,American
elder,Elder,American
sutton,Sutton,American
fry,Fry,British
tec-mec,Tec-Mec,Italian
connaught,Connaught,British
alta,Alta,British
osca,OSCA,Italian
gordini,Gordini,French
stevens,Stevens,American
bugatti,Bugatti,French
mercedes,Mercedes,German
lancia,Lancia,Italian
hwm,HWM,British
schroeder,Schroeder,American
pawl,Pawl,American
pankratz,Pankratz,American
arzani-volpini,Arzani-Volpini,Italian
nichels,Nichels,American
bromme,Bromme,American
klenk,Klenk,German
simca,Simca,French
turner,Turner,American
del_roy,Del Roy,American
veritas,Veritas,German
bmw,BMW,German
emw,EMW,East German
afm,AFM,German
frazer_nash,Frazer Nash,British
sherman,Sherman,American
deidt,Deidt,American
era,ERA,British
butterworth,Aston Butterworth,British
cisitalia,Cisitalia,Italian
lago,Talbot-Lago,French
hall,Hall,American
marchese,Marchese,American
langley,Langley,American
rae,Rae,American
olson,Olson,American
wetteroth,Wetteroth,American
adams,Adams,American
snowberger,Snowberger,American
milano,Milano,Italian
hrt,HRT,Spanish
cooper-maserati,Cooper-Maserati,British
virgin,Virgin,British
cooper-osca,Cooper-OSCA,British
cooper-borgward,Cooper-Borgward,British
cooper-climax,Cooper-Climax,British
cooper-castellotti,Cooper-Castellotti,British
lotus-climax,Lotus-Climax,British
lotus-maserati,Lotus-Maserati,British
de_tomaso-osca,De Tomaso-Osca,Italian
de_tomaso-alfa_romeo,De Tomaso-Alfa Romeo,Italian
lotus-brm,Lotus-BRM,British
lotus-borgward,Lotus-Borgward,British
cooper-alfa_romeo,Cooper-Alfa Romeo,British
de_tomaso-ferrari,De Tomaso-Ferrari,Italian
lotus-ford,Lotus-Ford,British
brabham-brm,Brabham-BRM,British
